Sentence,Label
"DNA replication occurs during the S phase of the cell cycle to ensure genetic material is passed on.",Illustration
"The heart pumps blood throughout the body, providing oxygen and nutrients to tissues.",Illustration
"The immune system recognizes pathogens and mounts a defense response through the activation of T cells.",Illustration
"Enzymes speed up chemical reactions by lowering the activation energy required.",Illustration
"During mitosis, the chromatin condenses into visible chromosomes, which are then separated into two daughter cells.",Illustration
"RNA polymerase synthesizes messenger RNA during transcription in the nucleus.",Illustration
"Cellular respiration breaks down glucose to produce energy in the form of ATP.",Illustration
"The kidneys filter waste products from the blood to form urine, which is then excreted from the body.",Illustration
"Neurons transmit electrical signals throughout the nervous system, allowing for communication between different parts of the body.",Illustration
"Blood vessels transport oxygenated and deoxygenated blood throughout the circulatory system.",Illustration
"Antibodies produced by B cells bind to antigens, helping to neutralize pathogens.",Illustration
"The stomach secretes digestive enzymes and acids to break down food for absorption in the intestines.",Illustration
"Phagocytes engulf and digest foreign particles and microorganisms to protect the body from infections.",Illustration
"Chlorophyll absorbs sunlight during photosynthesis to produce glucose in plant cells.",Illustration
"Proteins are synthesized by ribosomes using the instructions encoded in messenger RNA.",Illustration
"The hypothalamus regulates body temperature, hunger, and thirst as part of the autonomic nervous system.",Illustration
"White blood cells are involved in defending the body against infections by recognizing and destroying harmful pathogens.",Illustration
"The process of osmosis allows water to move across a semi-permeable membrane from areas of low solute concentration to high solute concentration.",Illustration
"In the process of DNA transcription, an RNA molecule is produced as a complementary copy of a DNA template strand.",Illustration
"The large intestine absorbs water and electrolytes from the chyme, forming solid stool for excretion.",Illustration
"Platelets play a crucial role in blood clotting to prevent excessive bleeding after injury.",Illustration
"Cell division through meiosis results in the formation of haploid gametes for sexual reproduction.",Illustration
"The pancreas produces digestive enzymes and insulin, which regulates blood sugar levels.",Illustration
"Muscle fibers contract in response to neural impulses, resulting in movement of the body.",Illustration
"Bone cells, known as osteocytes, maintain bone tissue by regulating mineralization and remodeling.",Illustration
"Cholesterol is a lipid molecule essential for the formation of cell membranes and certain hormones.",Illustration
"Hemoglobin in red blood cells binds oxygen in the lungs and releases it in tissues with low oxygen concentration.",Illustration
"Fats are broken down into fatty acids and glycerol, which are absorbed by the intestines and transported through the bloodstream.",Illustration
"The skin serves as a protective barrier against pathogens, chemicals, and physical damage.",Illustration
"In the nervous system, neurotransmitters are released at synapses to transmit signals between neurons.",Illustration
"The liver processes toxins, produces bile, and stores glycogen for energy.",Illustration
"Macrophages engulf and digest cellular debris and pathogens through a process called phagocytosis.",Illustration
"The Golgi apparatus modifies and packages proteins for secretion or transport within the cell.",Illustration
"During the respiratory cycle, the diaphragm contracts and relaxes to allow the intake and expulsion of air.",Illustration
"The blood-brain barrier regulates the movement of substances between the bloodstream and the brain to protect neural tissue.",Illustration
"During photosynthesis, plants convert carbon dioxide and water into glucose and oxygen, using energy from sunlight.",Illustration
"The lymphatic system helps in immune defense and the removal of excess fluids from tissues.",Illustration
"Villi in the small intestine increase surface area to maximize nutrient absorption.",Illustration
"During the fight-or-flight response, adrenaline is released from the adrenal glands to prepare the body for immediate action.",Illustration
"The bones of the skeleton provide structural support and protect vital organs.",Illustration
"Chloroplasts in plant cells capture light energy to produce glucose, a process known as photosynthesis.",Illustration
"The process of fertilization occurs when a sperm cell joins with an egg cell to form a zygote.",Illustration
"The retina contains photoreceptor cells that detect light and transmit signals to the brain for vision.",Illustration
"The enzyme lactase breaks down lactose into glucose and galactose in the digestive system.",Illustration
"During cellular respiration, oxygen is consumed and carbon dioxide is produced as a byproduct.",Illustration
"The nervous system controls voluntary and involuntary actions in the body through electrical signals.",Illustration
"Melanin in the skin protects the body from harmful ultraviolet radiation by absorbing and scattering light.",Illustration
"The pituitary gland secretes hormones that regulate growth, metabolism, and reproduction.",Illustration
"The alveoli in the lungs are responsible for gas exchange, allowing oxygen to enter the blood and carbon dioxide to be removed.",Illustration
"Bone marrow produces red blood cells, white blood cells, and platelets as part of the body's hematopoietic system.",Illustration
